ZB=F,EUR=X,CHFUSD,GLD
106.84375,0.79987,0.798212,62.9
107.59375,0.79371,0.801603,64.03
107.90625,0.79158,0.804246,62.54
107.71875,0.78703,0.809192,61.71
107.71875,0.79214,0.801925,61.14
107.5,0.79466,0.798148,61.55
107.78125,0.7866,0.805932,62.0
107.71875,0.78765,0.807754,62.9
108.28125,0.78425,0.811952,63.11
108.28125,0.78284,0.81281,63.16
108.28125,0.78003,0.815328,64.32
108.53125,0.78174,0.812876,64.75
108.6875,0.78131,0.812216,64.12
109.25,0.77646,0.818331,64.28
109.09375,0.78009,0.815129,64.5
108.96875,0.78327,0.811293,63.97
108.78125,0.7767,0.81606,64.63
108.65625,0.78168,0.810373,63.25
108.28125,0.78585,0.803536,62.71
107.96875,0.78598,0.805477,62.25
108.71875,0.7818,0.808538,62.01
109.3125,0.77863,0.813537,62.49
109.3125,0.7793,0.811425,61.03
109.625,0.77954,0.811557,61.04
109.78125,0.77682,0.815594,62.44
109.875,0.78052,0.810701,62.05
109.875,0.78241,0.809258,61.83
110.0,0.78358,0.807103,61.75
110.125,0.78388,0.806777,61.77
110.09375,0.78171,0.809389,61.0
110.1875,0.77948,0.813802,60.94
110.3125,0.77876,0.815129,61.42
110.6875,0.7807,0.812414,62.29
110.75,0.77906,0.813074,62.14
110.125,0.77979,0.810898,63.36
109.90625,0.78009,0.810373,62.86
110.03125,0.78542,0.804635,61.25
110.21875,0.78908,0.801732,60.64
109.9375,0.78678,0.803794,58.5
110.3125,0.78771,0.799936,58.32
110.375,0.78759,0.80032,58.62
110.15625,0.78598,0.798339,57.19
110.125,0.79045,0.795039,57.4
109.9375,0.78697,0.799872,58.23
110.71875,0.78883,0.799041,56.92
110.84375,0.78815,0.799424,57.26
112.03125,0.78241,0.804764,57.95
112.59375,0.78125,0.809585,58.5
113.03125,0.78462,0.807559,58.5
112.875,0.78821,0.804182,58.74
112.75,0.78703,0.804052,59.81
112.40625,0.78718,0.801925,59.79
112.40625,0.78976,0.798403,59.47
112.53125,0.78481,0.80457,59.15
112.5625,0.78524,0.803019,57.11
113.0,0.7866,0.800897,56.37
112.5,0.78768,0.798754,56.92
111.5625,0.7934,0.793588,56.99
111.03125,0.79796,0.786473,57.0
110.625,0.79847,0.78604,56.88
110.6875,0.79618,0.788706,57.49
110.34375,0.79968,0.785299,58.57
110.53125,0.79738,0.787526,59.17
110.625,0.79713,0.788706,58.65
110.78125,0.79751,0.787526,58.59
110.59375,0.79195,0.795482,59.41
110.625,0.79264,0.794218,58.78
110.125,0.79675,0.789515,57.76
110.125,0.79624,0.789328,58.17
110.6875,0.79264,0.791264,58.76
111.34375,0.78777,0.797703,59.29
111.84375,0.78474,0.800384,59.4
111.90625,0.78629,0.800512,59.9
112.65625,0.78327,0.804182,60.24
113.15625,0.78404,0.803019,61.36
112.8125,0.78247,0.803213,61.92
111.625,0.78697,0.79783,62.3
111.71875,0.78582,0.797003,61.89
112.21875,0.78253,0.800769,62.04
112.5625,0.7837,0.799392,61.11
112.5625,0.77927,0.805088,62.95
112.96875,0.77797,0.807233,62.49
112.8125,0.77967,0.804376,62.19
113.28125,0.7804,0.804117,61.63
112.78125,0.77973,0.802697,61.84
112.3125,0.78162,0.801346,61.31
112.8125,0.77821,0.805218,61.78
112.9375,0.78015,0.804117,61.77
113.125,0.77845,0.805899,62.27
113.21875,0.77286,0.815262,62.5
113.4375,0.76423,0.827335,63.5
113.59375,0.76144,0.82905,63.7
113.875,0.75735,0.831739,63.57
113.6875,0.76057,0.826344,63.16
114.375,0.75466,0.835073,64.39
114.625,0.74957,0.838082,64.12
114.59375,0.74985,0.838012,64.12
114.46875,0.75081,0.838856,63.81
114.0625,0.75264,0.83619,62.69
114.0625,0.75267,0.83668,62.73
113.3125,0.7466,0.829669,62.05
113.71875,0.75466,0.832431,62.57
113.96875,0.75273,0.834028,62.52
112.96875,0.75654,0.829462,62.48
112.71875,0.76008,0.823927,62.12
112.6875,0.76342,0.819202,61.0
112.71875,0.76301,0.818532,61.04
112.6875,0.75717,0.82447,61.8
112.5625,0.75832,0.82203,61.62
